SiteName,ADelay_1,ADelay_2,ADelay_3,ADelay_4,tPhase_1,tPhase_2,tPhase_3,tPhase_4,movFlow_1,movFlow_2,movFlow_3,movFlow_4,movFlow_5,movFlow_6,movFlow_7,movFlow_8,movFlow_9,movFlow_10,movFlow_11,movFlow_12,GTMov_1,GTMov_2,GTMov_3,GTMov_4,GTMov_5,GTMov_6,GTMov_7,GTMov_8,GTMov_9,GTMov_10,GTMov_11,GTMov_12,GTMovProp_1,GTMovProp_2,GTMovProp_3,GTMovProp_4,GTMovProp_5,GTMovProp_6,GTMovProp_7,GTMovProp_8,GTMovProp_9,GTMovProp_10,GTMovProp_11,GTMovProp_12,appFlow_1,appFlow_2,appFlow_3,appFlow_4,GTApp_1,GTApp_2,GTApp_3,GTApp_4,GTAppProp_1,GTAppProp_2,GTAppProp_3,GTAppProp_4
withoutShortLanes,34.12240000000001,37.6751724137931,34.15986111111112,48.66166666666667,20,30,6,10,168.0,896.0,336.0,40.0,136.0,56.0,40.0,1024.0,88.0,16.0,136.0,40.0,30,30,20,10,10,6,30,30,20,10,10,6,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.06666666666666667,1400.0,232.0,1152.0,192.0,50,16,50,16,0.5555555555555556,0.17777777777777778,0.5555555555555556,0.17777777777777778
withoutShortLanes,55.07674922600617,78.6138888888889,57.08830985915495,96.29136986301371,34,57,9,26,148.8,1228.8,172.8,57.6,268.8,105.6,307.2,993.6,403.2,81.60000000000001,244.8,24.0,57,57,34,26,26,9,57,57,34,26,26,9,0.38,0.38,0.22666666666666666,0.17333333333333334,0.17333333333333334,0.06,0.38,0.38,0.22666666666666666,0.17333333333333334,0.17333333333333334,0.06,1550.3999999999999,432.0,1704.0,350.40000000000003,91,35,91,35,0.6066666666666667,0.23333333333333334,0.6066666666666667,0.23333333333333334
withoutShortLanes,37.64307692307692,60.09809523809523,35.804977777777765,61.15285714285714,24,56,6,10,204.0,1266.0,168.0,12.0,96.0,18.0,198.0,846.0,306.0,6.0,126.0,36.0,56,56,24,10,10,6,56,56,24,10,10,6,0.4666666666666667,0.4666666666666667,0.2,0.08333333333333333,0.08333333333333333,0.05,0.4666666666666667,0.4666666666666667,0.2,0.08333333333333333,0.08333333333333333,0.05,1638.0,126.0,1350.0,168.0,80,16,80,16,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.13333333333333333
withoutShortLanes,33.64133971291868,55.07117647058824,35.57968911917099,56.35428571428572,22,41,6,7,252.00000000000003,1065.6,187.2,21.6,79.19999999999999,21.6,144.0,900.0,345.6,36.0,86.4,28.8,41,41,22,7,7,6,41,41,22,7,7,6,0.41,0.41,0.22,0.07,0.07,0.06,0.41,0.41,0.22,0.07,0.07,0.06,1504.8,122.39999999999998,1389.6,151.20000000000002,63,13,63,13,0.63,0.13,0.63,0.13
withoutShortLanes,34.943942857142844,44.766666666666666,32.60341836734693,56.05391304347826,21,41,6,8,273.6,676.8,309.6,7.2,115.2,7.2,165.6,1130.4,115.2,14.4,115.2,36.0,41,41,21,8,8,6,41,41,21,8,8,6,0.41,0.41,0.21,0.08,0.08,0.06,0.41,0.41,0.21,0.08,0.08,0.06,1260.0,129.6,1411.2,165.6,62,14,62,14,0.62,0.14,0.62,0.14
withoutShortLanes,28.390472972972965,44.34157894736842,27.351543624161064,44.7223076923077,12,32,6,6,234.0,855.0,243.00000000000003,36.0,108.0,27.0,63.00000000000001,1215.0,63.00000000000001,9.0,90.0,18.0,32,32,12,6,6,6,32,32,12,6,6,6,0.4,0.4,0.15,0.075,0.075,0.075,0.4,0.4,0.15,0.075,0.075,0.075,1332.0,171.0,1341.0,117.0,44,12,44,12,0.55,0.15,0.55,0.15
withoutShortLanes,29.8764814814815,51.4042105263158,33.37549132947977,46.9725,20,32,6,8,16.0,968.0,312.0,40.0,88.0,24.0,16.0,1056.0,312.0,8.0,128.0,24.0,32,32,20,8,8,6,32,32,20,8,8,6,0.35555555555555557,0.35555555555555557,0.2222222222222222,0.08888888888888889,0.08888888888888889,0.06666666666666667,0.35555555555555557,0.35555555555555557,0.2222222222222222,0.08888888888888889,0.08888888888888889,0.06666666666666667,1296.0,152.0,1384.0,160.0,52,14,52,14,0.5777777777777777,0.15555555555555556,0.5777777777777777,0.15555555555555556
withoutShortLanes,28.078488372093023,43.10933333333333,32.30664596273292,37.62125,15,38,6,7,120.0,1080.0,176.0,24.0,80.0,16.0,192.0,872.0,224.0,24.0,72.0,32.0,38,38,15,7,7,6,38,38,15,7,7,6,0.4222222222222222,0.4222222222222222,0.16666666666666666,0.07777777777777778,0.07777777777777778,0.06666666666666667,0.4222222222222222,0.4222222222222222,0.16666666666666666,0.07777777777777778,0.07777777777777778,0.06666666666666667,1376.0,120.0,1288.0,128.0,53,13,53,13,0.5888888888888889,0.14444444444444443,0.5888888888888889,0.14444444444444443
withoutShortLanes,24.703534482758613,40.92666666666666,22.212685185185187,38.35125000000001,6,28,6,6,257.1428571428571,822.8571428571428,113.14285714285715,41.142857142857146,82.28571428571429,30.857142857142858,10.285714285714286,1018.2857142857144,82.28571428571429,20.571428571428573,102.85714285714285,41.142857142857146,28,28,6,6,6,6,28,28,6,6,6,6,0.4,0.4,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.4,0.4,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572,1193.142857142857,154.2857142857143,1110.857142857143,164.57142857142856,34,12,34,12,0.4857142857142857,0.17142857142857143,0.4857142857142857,0.17142857142857143
withoutShortLanes,31.09341176470588,48.861250000000005,32.79288557213932,49.70705882352941,18,43,6,9,28.8,928.8,266.4,28.8,108.0,36.0,201.6,1101.6,144.0,14.4,86.4,21.6,43,43,18,9,9,6,43,43,18,9,9,6,0.43,0.43,0.18,0.09,0.09,0.06,0.43,0.43,0.18,0.09,0.09,0.06,1224.0,172.8,1447.1999999999998,122.4,61,15,61,15,0.61,0.15,0.61,0.15
withoutShortLanes,23.93112149532709,35.235454545454544,25.32245283018868,41.94461538461538,8,26,6,6,123.42857142857144,874.2857142857142,102.85714285714285,10.285714285714286,72.0,30.857142857142858,236.57142857142856,720.0,133.71428571428572,20.571428571428573,82.28571428571429,30.857142857142858,26,26,8,6,6,6,26,26,8,6,6,6,0.37142857142857144,0.37142857142857144,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.37142857142857144,0.37142857142857144,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.08571428571428572,1100.5714285714284,113.14285714285715,1090.2857142857142,133.71428571428572,34,12,34,12,0.4857142857142857,0.17142857142857143,0.4857142857142857,0.17142857142857143
